scenario,config,max_drift,rms_drift,steps
Гало-орбита L1,Эйлер фикс,2.223285491504792e-06,1.2539068672023454e-06,35206
Гало-орбита L1,Эйлер адапт,3.5330648674405967e-07,1.995853871554261e-07,166562
Гало-орбита L1,Верле полушаг. фикс,1.1040676272925156e-06,6.290891459265333e-07,35206
Гало-орбита L1,Верле полушаг. адапт,2.393948169823525e-07,1.374270794200715e-07,166646
Гало-орбита L1,Верле итерир. фикс,3.8296992454052293e-11,2.4019703103197167e-11,35206
Гало-орбита L1,Верле итерир. адапт,1.848153372574957e-12,1.0229585087480383e-12,166677
Свободный возврат,Эйлер фикс,0.4843385313034083,0.02349824941352919,24000
Свободный возврат,Эйлер адапт,0.015336413500463162,0.001050675861720764,720000
Свободный возврат,Верле полушаг. фикс,0.015956938556005704,0.008860784486537022,24000
Свободный возврат,Верле полушаг. адапт,0.00022144547919938923,0.0001500460184151758,720000
Свободный возврат,Верле итерир. фикс,0.011461130227497795,0.010605525531951987,24000
Свободный возврат,Верле итерир. адапт,1.2729316793015546e-05,1.1779930991622299e-05,720000
Хаос вблизи L1,Эйлер фикс,0.03122662317237543,0.0005125597032314295,37029
Хаос вблизи L1,Эйлер адапт,0.0010366831801870144,3.755564920026915e-05,316876
Хаос вблизи L1,Верле полушаг. фикс,0.0002695685608153348,7.71361876370532e-05,37143
Хаос вблизи L1,Верле полушаг. адапт,4.150586813795356e-06,2.8048783656585827e-06,317047
Хаос вблизи L1,Верле итерир. фикс,0.00039817914212597513,4.655983236883376e-06,37257
Хаос вблизи L1,Верле итерир. адапт,4.043064088568179e-07,8.571113544854594e-09,317078
